"set_id","fetched","inserted","ok","note"
"pgo","0","0","True","No cards returned for any set_code variant. Check DB set_code vs Pok??monTCG set.id."
"pl1","0","0","True","No cards returned for any set_code variant. Check DB set_code vs Pok??monTCG set.id."
"pl2","0","0","True","No cards returned for any set_code variant. Check DB set_code vs Pok??monTCG set.id."
"pl3","0","0","True","No cards returned for any set_code variant. Check DB set_code vs Pok??monTCG set.id."
"pl4","111","203","True",
"pop1",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"pop2",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"pop3",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"pop4",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"pop5",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"pop6",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"pop7",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"pop8",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"pop9",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"rsv10pt5",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"ru1",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"si1",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sm1",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sm10",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sm11",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sm115",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sm12",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sm2",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sm3",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sm35",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sm4",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sm5",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sm6",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sm7",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sm75",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sm8",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sm9",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sma",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"smp",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sv1",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sv10",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sv2",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sv3",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sv3pt5",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sv4",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sv4pt5",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sv5",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sv6",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sv6pt5",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sv7",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sv8",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sv8pt5",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sv9",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"sve",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"svp",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh1",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh10",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh10tg",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh11",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh11tg",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh12",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh12pt5",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh12pt5gg",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh12tg",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh2",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh3",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh35",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh4",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh45",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh45sv",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh5",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh6",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh7",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh8",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh9",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swsh9tg",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"swshp",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"tk1a",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"tk1b",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"tk2a",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"tk2b",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"xy0",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"xy1",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"xy10",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"xy11",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"xy12",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"xy2",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"xy3",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"xy4",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"xy5",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"xy6",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"xy7",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"xy8",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"xy9",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"xyp",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
"zsv10pt5",,,"False","ERROR: The remote server returned an error: (401) Unauthorized."
